user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,value,text,hashtags,source,retweets,favorites,is_retweet
Tamer Yazar,Turkey-Israel,"Im Market Analyst, also Editor... working (freelance) for some companies that need analysis for their products in Int. Markets - Instagram :  tamervisits -",09-09-17 16:45,1302,78,339,FALSE,20-12-12 19:29,n,"while deaths are closing in on the 300,000 mark... millions of people wait #PfizerBioNTech #Vaccine !-The first U… https://t.co/uQ3A2f7SVP","['PfizerBioNTech', 'Vaccine']",Twitter Web App,0,0,FALSE
VoiceM,,campaigner & optimistic realist,20-08-31 10:38,2,25,20,FALSE,20-12-12 19:22,y,@cnnbrk #COVID19 #CovidVaccine #vaccine #Corona   #PfizerBioNTech #bbcnews #NYTimes #BBCNews Best wishes to the US… https://t.co/9xWmfU3LZj,"['COVID19', 'CovidVaccine', 'vaccine', 'Corona', 'PfizerBioNTech', 'bbcnews', 'NYTimes', 'BBCNews']",Twitter Web App,0,0,FALSE
WION,India,#WION: World Is One | Welcome to India’s first global news network. We present global stories with an Indian perspective. | https://t.co/V3tpBavoXE,16-03-21 3:44,292510,91,7531,TRUE,20-12-12 17:45,0,The agency also released new information for health care providers and for patients as the US shipped millions of d… https://t.co/sG6BtD7jD9,,TweetDeck,0,18,FALSE
Dr.Krutika Kuppalli,,"ID, Global Health, VHF, Pandemic Prep, Emerging Infections, & Health Policy MD| U.S. Congress COVID-19 expert witness x 2 | ELBI 2020 @JHSPH_CHS",19-03-25 4:14,21924,593,7815,TRUE,20-12-12 17:19,0,For all the women and healthcare providers who have been asking about the safety of the #PfizerBioNTech… https://t.co/ow0Pglkwte,['PfizerBioNTech'],Twitter for iPhone,48,82,FALSE
Opoyi,,"High-quality trusted conversations around news and information, in 12 languages.",19-01-13 18:33,10332,49,16,FALSE,20-12-12 17:10,y,"""Expect 145 sites across all the states to receive vaccine on Monday, another 425 sites on Tuesday,"" said the offic… https://t.co/HiUVYJzOBY",,TweetDeck,0,0,FALSE
City A.M.,"London, England","London's business newspaper - News, Opinion, and Analysis. For all distribution queries, see @CityAMDist.",09-06-09 13:53,66224,603,771,TRUE,20-12-12 16:00,y,"Trump announces #vaccine rollout 'in less than 24 hours'The first Americans will be vaccinated against… https://t.co/2FzQSMnhoY",['vaccine'],Twitter for iPhone,0,1,FALSE
STOPCOMMONPASS.ORG,Global,"'Trust' is not carte-blanche for erosion of our liberty, privacy, & the pursuit of global control.",20-10-25 20:33,406,176,479,FALSE,20-12-12 15:59,0,"UPDATED: #YellowFever &amp; #COVID19 #ImmunityPassports - Part Two#SARSCoV2 #PfizerBioNtech #Britain #December… https://t.co/qKT7Rst9aW","['YellowFever', 'COVID19', 'ImmunityPassports', 'SARSCoV2', 'PfizerBioNtech', 'Britain', 'December']",Twitter Web App,2,2,FALSE
ILKHA,Türkiye,Official Twitter account of Ilke News Agency /,15-05-22 8:31,4056,6,3,TRUE,20-12-12 15:38,n,"Coronavirus: Iran reports 8,201 new cases, 221 deaths in the last 24 hours #Iran #coronavirus #PfizerBioNTech… https://t.co/mwDNAdmb7F","['Iran', 'coronavirus', 'PfizerBioNTech']",TweetDeck,3,5,FALSE
Braderz73🌹#GTTO 🇪🇺 🇬🇧,"Bristol, UK","One of those lefty types, I believe in a fairer future for all. I also luv throwin' myself down steep trails on my MTB! Ex-Labour.#DisabilityRights",12-07-24 8:18,6430,6292,45007,FALSE,20-12-12 15:27,n,.@Pfizer will rake in billions from its expensive #CovidVaccine but @AlbertBourla refuses to cut the price for lowe… https://t.co/eC94w3TUl0,['CovidVaccine'],Twitter for Android,3,3,FALSE
Alex Vie,"Los Angeles, CA",Marine vet. Yogi. Krav Maga. Runner. Climber. Cyclist. 📷: artificer.vx 👻: QxGambit,10-01-24 4:43,125,442,5401,FALSE,20-12-12 15:10,n,"The trump administration failed to deliver on vaccine promises, *shocker* #COVIDIOTS #coronavirus #CovidVaccine… https://t.co/hew6eHTUrD","['COVIDIOTS', 'coronavirus', 'CovidVaccine']",Twitter for iPhone,0,0,FALSE
Mani,,,19-10-10 13:41,26,33,2515,FALSE,20-12-12 15:00,n,How much did the #fda get paid to approve this all of a sudden now? money makes the world go around. #vaccine… https://t.co/GT9qVVNbKj,"['fda', 'vaccine']",Twitter Web App,0,0,FALSE
"Richard Dunne, MD","Rochester, NY","Husband, Girl Dad, GI Oncologist @wilmotcancer w/ research focus in #cachexia, weight loss, #pancreaticcancer & love of sport, @notredame alum, tweets my own",12-04-23 12:18,1982,608,9110,FALSE,20-12-12 14:59,n,Anyone wondering why day after #PfizerBioNTech approval in the UK people were getting vaccinated but all we are tol… https://t.co/tPSyL9CUYE,['PfizerBioNTech'],Twitter for iPhone,0,2,FALSE
City A.M.,"London, England","London's business newspaper - News, Opinion, and Analysis. For all distribution queries, see @CityAMDist.",09-06-09 13:53,66224,603,771,TRUE,20-12-12 14:59,y,"Trump announces #vaccine rollout 'in less than 24 hours'The first Americans will be vaccinated against… https://t.co/P9esXr3zpS",['vaccine'],Buffer,1,0,FALSE
BOOM Live,"Mumbai, India","IFCN certified fact-driven journalism. India's first independent online resource to fight misinformation, explain issues and keep the internet safe",14-03-16 3:52,64185,1183,1794,TRUE,20-12-12 14:58,y,The US Food and Drug Administration (FDA) has granted emergency use authorization to Pfizer-BioNTech's mRNA… https://t.co/dPLokxGtBa,,Twitter Web App,1,5,FALSE
DOCNOS Official,,An Innovative Healthtech Start-up creating unique solutions.,20-11-10 16:53,7,0,5,FALSE,20-12-12 14:46,0,"Presenting you the top Medical News/Advancement of the past week you don't want to miss!#docnosofficial #covid19… https://t.co/qOd5TPLYvA","['docnosofficial', 'covid19']",Twitter Web App,0,3,FALSE
Devan Surendran,"Nottingham, England","NHS Doctor | Singer | Travel, nature and dog lover!",10-01-16 23:59,116,86,268,FALSE,20-12-12 14:43,y,"No.1 of 2 done.#ThankYouNHS @NHSuk @MHRAgovuk and #PfizerBioNTech @pfizer for making the #CovidVaccine dream poss… https://t.co/3KvJ7UP432","['ThankYouNHS', 'PfizerBioNTech', 'CovidVaccine']",Twitter Web App,1,10,FALSE
Tamer Yazar,Turkey-Israel,"Im Market Analyst, also Editor... working (freelance) for some companies that need analysis for their products in Int. Markets - Instagram :  tamervisits -",09-09-17 16:45,1302,78,339,FALSE,20-12-12 14:42,0,"Wear a mask, wash your hands, and remain socially distant when possible. #stayhome #StayAtHome #StayAtHomeSaveLives… https://t.co/Jrlrg6bm0w","['stayhome', 'StayAtHome', 'StayAtHomeSaveLives']",Twitter Web App,0,0,FALSE
Michael Finn,"Crete, Greece","Hellenic National Healthcare, Agios Nikolaos General Hospital, bassist & guitarist    e-mail:finnmike@ymail.com",11-10-17 19:03,151,235,838,FALSE,20-12-12 14:41,y,"⁦@AvgerinosMoscow⁩ #PfizerBioNTech #FDA approval Apprentice Style!⁦@realDonaldTrump⁩: “Approve the #vaccine or you… https://t.co/f64cOP5DV6","['PfizerBioNTech', 'FDA', 'vaccine']",Twitter for iPad,0,0,FALSE
Emiliano Pacelli,"Rome, Italy",#IBMCloud and #AIApplications passionate helping companies #B2BCollaboration and #SupplyChain innovation. Retweets/likes aren't endorsements.Opinion are my owns,19-07-29 20:03,75,291,685,FALSE,20-12-12 14:26,y,"Interesting and very detailed article showing up how a well tested #supplychain, with #sharedvisibility will help d… https://t.co/yt3vn67mVg","['supplychain', 'sharedvisibility']",Twitter for iPad,0,0,FALSE
🦑Dr. Kraken-Elect Lipstick 💋,Not Today ,Married. National news investigative/independent contributor #StandWithIsrael #StandWithTrump #BackTheBlue 👉🏼On PARLER @LipstickPrime 🚫 DM’s for tips only.,11-06-01 17:10,5166,5228,19389,FALSE,20-12-12 14:11,0,💉 #Vaccine #TrumpVaccine #AstraZeneca #PfizerBioNTech #Pfizervaccine #PfizerCovidVaccine  #Pfizer's COVID-19 belong… https://t.co/ldxQhN6uix,"['Vaccine', 'TrumpVaccine', 'AstraZeneca', 'PfizerBioNTech', 'Pfizervaccine', 'PfizerCovidVaccine', 'Pfizer']",Twitter for iPhone,0,0,FALSE
Andy Thomas,London,Retweets not necessarily endorsements.,09-03-07 20:39,1151,4301,95963,FALSE,20-12-12 14:04,n,"@ZubyMusic 6 deaths so far. It's only death, nothing to worry about then 🤔#CovidVaccines#Pfizervaccine… https://t.co/HkGTDM5J3f","['CovidVaccines', 'Pfizervaccine']",Twitter for Android,0,2,FALSE
Isabel Winnwa,"Berlin, Germany","Into (EU) politics, books, sports & all things science. Political scientist. @FU_Berlin & @scriptsberlin. Tweets & opinions are personal.",20-03-30 13:47,230,652,6098,FALSE,20-12-12 13:56,n,@sbnumb3 @nytimes Please don’t spread fake news! There is no evidence that these cases are linked to the… https://t.co/bMcAhIPR5g,,Twitter for iPhone,0,3,FALSE
Contagion,"Cranbury, NJ","Providing timely news to improve the diagnosis, treatment, and prevention of infectious diseases.",16-01-29 15:54,5998,815,5867,FALSE,20-12-12 13:00,y,"#ICYMI The #FDA Authorized the #PfizerBioNTech #COVID19 #Vaccine for the United States last nighthttps://t.co/CtYGB3fNnE","['ICYMI', 'FDA', 'PfizerBioNTech', 'COVID19', 'Vaccine']",TweetDeck,0,1,FALSE
Rob of the Green,"Cork, Ireland","In Pursuit of Betterness. I'm doing my bit to help others (& myself) get there, 1% at a time. Check out the podcasts, videos & words | Real me - @robodonohue",16-12-16 20:29,2149,1812,17175,FALSE,20-12-12 12:54,0,All respect to due process but why not give approval now instead of the 29th of December. Surely multiple other cou… https://t.co/Xv0SRv1Ukw,,Twitter for iPhone,0,0,FALSE
Rajat Kotra,"London, England","Ever-curious polymath,#global leader#startups#entrepreneurr#Digital#Analytics#AI#bigdata#IoT#fitness#trekking#singlemalt#meditation:doting dad;views personal",09-12-03 12:03,754,917,220,FALSE,20-12-12 12:54,0,Vaccine!! Anyone?? #covid #Pfizervaccine #PfizerBioNTech https://t.co/b9ZKwnlIkX,"['covid', 'Pfizervaccine', 'PfizerBioNTech']",Twitter for Android,0,0,FALSE
Shahjhan Malik | #WearAMask,"Nottinghamshire, England",Solicitor.Dual Qualified.Single Parent Of 2 Amazing Boys. HR activist.Occasionally Write 4 @geonews_english @thenews_intl.Pursuing Justice Until Justice Is Done,17-06-22 6:22,41708,2868,47862,FALSE,20-12-12 12:42,y,"An immigrant Muslim couple find the COVID-19 Vaccine. #CovidVaccine #PfizerBioNTech #Pfizervaccine #PfizerProud","['CovidVaccine', 'PfizerBioNTech', 'Pfizervaccine', 'PfizerProud']",Twitter for iPhone,2,37,FALSE
John Berry,,English (not British or European) beer swilling northerner can argue with myself don't give a f about anything,20-10-13 15:21,2,0,0,FALSE,20-12-12 12:26,n,"The #FDA finally issues #EUA now comes the problem transporting this #PfizerBioNTech vaccine, needs to be kept at -… https://t.co/NvaGyoo2yD","['FDA', 'EUA', 'PfizerBioNTech']",Twitter Web App,0,0,FALSE
Farooq Anees,"دبي, الامارات العربية المتحدة",Somethings are better not be disclosed.... \o/,10-12-23 11:51,293,319,165,FALSE,20-12-12 12:20,y,"Ladies and Gentlemen, now we have #CovidVaccine experts in each and every household of #Pakistan #PfizerBioNTech #oxfordvaccine 🤦‍♂️","['CovidVaccine', 'Pakistan', 'PfizerBioNTech', 'oxfordvaccine']",Twitter for Android,0,0,FALSE
KHuntson,USA🇺🇸,"RN, health educator, writer, researcher, wife, mom, truth-seeker. Covid-19 is a crime against humanity. There is no such thing as a risk-free world.",14-01-31 1:25,2035,1672,6734,FALSE,20-12-12 12:19,y,"FACT SHEET FOR HEALTHCARE PROVIDERS ADMINISTERING VACCINE#PfizerBioNTech #CovidVaccine https://t.co/xRaOiACZSD","['PfizerBioNTech', 'CovidVaccine']",Twitter Web App,0,0,FALSE
"Party politics isn't working for anyone, anywhere","Wales, United Kingdom","No lie to another is respectful; no lie to yourself is healthy.   ""Official lies"" should mean ""Official jail""",16-08-03 20:11,761,504,33675,FALSE,20-12-12 12:19,n,@mirekR9 @sputnikvaccine @AstraZeneca check out table 23 of this and other tables too because it took the penny a w… https://t.co/5r6ibs8Jm8,,Twitter Web App,0,0,FALSE
"Party politics isn't working for anyone, anywhere","Wales, United Kingdom","No lie to another is respectful; no lie to yourself is healthy.   ""Official lies"" should mean ""Official jail""",16-08-03 20:11,761,504,33675,FALSE,20-12-12 12:16,y,"@mirekR9 @sputnikvaccine @AstraZeneca it's the only one which doesn't have any side effects the #PfizerBioNTech a… https://t.co/IWELAATAmd",['PfizerBioNTech'],Twitter Web App,0,0,FALSE
KHuntson,USA🇺🇸,"RN, health educator, writer, researcher, wife, mom, truth-seeker. Covid-19 is a crime against humanity. There is no such thing as a risk-free world.",14-01-31 1:25,2035,1672,6734,FALSE,20-12-12 12:16,0,"FACT SHEET FOR RECIPIENTS AND CAREGIVERS#PfizerBioNTech #CovidVaccine https://t.co/V0mn08VTwj","['PfizerBioNTech', 'CovidVaccine']",Twitter Web App,0,0,FALSE
mystic,,I believe in the goodness of humanity.,20-05-20 10:57,14,162,1341,FALSE,20-12-12 12:12,0,#CovidVaccine #Pfizer-BioNTech COVID-19 #PfizerBioNTech #COVID19 #CapeTown https://t.co/uCpwv0S4nl,"['CovidVaccine', 'Pfizer', 'PfizerBioNTech', 'COVID19', 'CapeTown']",Twitter for iPhone,0,1,FALSE
City A.M.,"London, England","London's business newspaper - News, Opinion, and Analysis. For all distribution queries, see @CityAMDist.",09-06-09 13:53,66224,603,771,TRUE,20-12-12 11:59,y,"Trump announces #vaccine rollout 'in less than 24 hours'The first Americans will be vaccinated against… https://t.co/6379SZjNQi",['vaccine'],Twitter Web App,0,2,FALSE
Daily News Egypt,Egypt,Egypt's Only Daily Independent Newspaper in English,09-04-26 7:56,278080,116,765,TRUE,20-12-12 11:55,y,"#FDA authorizes #PfizerBioNTech #coronavirus vaccine for emergency usehttps://t.co/VZ6bDPbbPG","['FDA', 'PfizerBioNTech', 'coronavirus']",Twitter Web App,1,1,FALSE
IP_Man,America,"One Man, With One Statistically Impossible Graph,The Republic Of The United States At Stake, You Need To Wake Up Friends Neighbors To The Fact They CHEATED!",12-06-21 1:41,625,477,14475,FALSE,20-12-20 8:15,0,"When The #CovidVaccine Poisons Enough Of The LEFT With ""Side Effects"" Like #BellsPalsy Or ☠️ As They Are Flocking… https://t.co/mGNvf2XT8i","['CovidVaccine', 'BellsPalsy']",Twitter Web App,0,0,FALSE
tango,,,20-09-17 10:03,40,94,9737,FALSE,20-12-19 14:31,n,@realDonaldTrump Dairy dose of dumbsville by #DonTheCon #GrifterInChief #TrumpForPrison #TrumpCrimeFamily #COVID… https://t.co/gyiCvTuMOP,"['DonTheCon', 'GrifterInChief', 'TrumpForPrison', 'TrumpCrimeFamily', 'COVID']",Twitter for Android,0,0,FALSE
Vishwas Gaitonde,,"A man of the quill & of the pill / Of pens & syringes, say what you will / Writes fiction & essays & medical tomes / I wonder if one day he'll also write poems",12-09-30 20:00,1162,239,4514,FALSE,20-12-19 3:00,y,The US #FDA has approved two #coronavirus vaccines: #PfizerBioNTech &amp; #Moderna. Over 200 #vaccines are being develo… https://t.co/6lboJqT9mn,"['FDA', 'coronavirus', 'PfizerBioNTech', 'Moderna', 'vaccines']",Twitter Web App,0,0,FALSE
Euranet Plus,The European Union,The leading radio network for EU news,13-03-29 13:30,6006,3551,3954,FALSE,20-12-18 11:11,0,"As @EMA_News gets set to approve #PfizerBioNTech #vaccine, roll-out preparations pick up pace across #EU. Meanwhile… https://t.co/uWiv1SypWg","['PfizerBioNTech', 'vaccine', 'EU']",Twitter Web App,2,0,FALSE
IP_Man,America,"One Man, With One Statistically Impossible Graph,The Republic Of The United States At Stake, You Need To Wake Up Friends Neighbors To The Fact They CHEATED!",12-06-21 1:41,625,477,14475,FALSE,20-12-18 6:38,0,"COVID-19: News and updatespublic questioned whether he actually received the shot.Video footage appeared to show… https://t.co/lBc2PJ2b9l",,Twitter Web App,0,0,FALSE
Love Truth Faith ❤️,,Spiritual warrior. Love is my weapon. Truth is my ammo. Faith is my shield. Former Lib #WalkAway. #MAGA is the way. #KAG is love. Positive vibrations 🎶🕉️❤️,17-11-09 23:25,220,1143,2386,FALSE,20-12-16 15:15,n,Tragedy. Another life taken by corporate greed and the evil pharmaceutical companies. #vaccination #vaccine… https://t.co/1YcShyQpR6,"['vaccination', 'vaccine']",Twitter Web App,0,0,FALSE
Dr. Taha Khan,India | USA,MD/MPH • PGY1 Peds/Child Neurology @theBCRP (@The_BMC + @BostonChildrens) • #ClassOf2020 VP @HarvardChanSPH • @DalMedSchool alum • CEO @ChildAwarePro |Views own,13-12-30 8:51,855,3046,8236,FALSE,20-12-14 23:48,y,"I’ve never been so excited to get a vaccine 💉💉💉#CovidVaccine #PfizerBioNTech #VaccinesSaveLives #VaccinesWork https://t.co/tCylgwmUO3","['CovidVaccine', 'PfizerBioNTech', 'VaccinesSaveLives', 'VaccinesWork']",Twitter for iPhone,1,10,FALSE
KaileyBen-Sassi,"Wales, United Kingdom","Specialist antimicrobial & lead OPAT pharmacist, e-Bug educator & enthusiast, independent prescriber BCUHB. Wife of one, mother of three plus 🐕Views are my own",11-10-14 19:27,304,558,1032,FALSE,20-12-14 23:14,0,Building on last week’s ‘trial’ run and extending our vaccination 💉 programme this week . So much effort going on b… https://t.co/Wsaup80aFs,,Twitter for iPhone,1,16,FALSE
theDove,"Medford, OR",theDove | Radio | TV | Online | Mobile Providing Hope | Affirming Faith,09-11-24 18:02,649,439,342,FALSE,20-12-14 23:13,y,"The first COVID-19 vaccine doses have arrived in Oregon.  Watch #MorningsontheDove from 6am -9am tomorrow for det… https://t.co/eNy64xR7KX",['MorningsontheDove'],TweetDeck,1,0,FALSE
Iran International English,"London, UK",The first 24/7 hours Persian News Channel | Official English account of @IranIntl,18-08-12 22:29,17943,4,7,TRUE,20-12-14 23:00,n,#Iran has told the World Health Organization it does not intend to import the #PfizerBioNTech Covid-19 #vaccine bec… https://t.co/sJM874Mkc7,"['Iran', 'PfizerBioNTech', 'vaccine']",TweetDeck,0,2,FALSE
"Nicole Van Groningen, MD","Los Angeles, CA","Assistant Professor of Medicine and Hospitalist at @CedarsSinai. Freelance writer. Tweets on health, wellness, advocacy, and COVID19. #WearAMask.",14-08-02 2:30,1946,807,1031,FALSE,20-12-14 22:55,n,Concerned about the side effects of the #PfizerBioNTech #COVID19 vaccine?  Check out my recap 👇🏼 https://t.co/P6yfRwS3Fq,"['PfizerBioNTech', 'COVID19']",Twitter for iPhone,1,7,FALSE
Karthik Raja,"Chicago, IL",Data Scientist and Photographer combining science and art in pursuit of a #BeautifulWorld,10-04-20 4:22,227,243,470,FALSE,20-12-14 22:41,y,"Such a great feeling. A big thank you to all the healthcare professionals; scientists, nurses, doctors, caregivers.… https://t.co/tR4DUVl5Ud",,Twitter for Android,0,3,FALSE
Kris LaGrange,"LI, NYC, NJ, PA, NE, USA",UCOMM Blog aggregates activist news you can use from the people who work and organize every day on https://t.co/PjMpFcwoQY and produces a weekly Live podcast.,11-01-27 21:42,24686,6077,2994,FALSE,20-12-14 22:32,y,"Members of the @teamsters delivered the first #COVID19Vaccine this morning#teamsters#UPS#COVID19 #Pfizer… https://t.co/Ms3N1s9OES","['COVID19Vaccine', 'teamsters', 'UPS', 'COVID19', 'Pfizer']",Twitter Web App,8,18,FALSE
"Katharine Liang, MD, PhD","Seattle, WA","Psychiatry chief resident studying stress @UWMedicine @UWPsychiatry • @UNC_SOM • #MedTwitter #PsychTwitter #doubledocs • mother, violinist, adventurer",18-12-22 6:43,374,486,1790,FALSE,20-12-14 22:25,y,Getting my first dose of the #PfizerBioNTech #CovidVaccine next weekend and seeing this #UNBOXING just made it so r… https://t.co/Y6Bqj5KRFR,"['PfizerBioNTech', 'CovidVaccine', 'UNBOXING']",Twitter for iPhone,0,2,FALSE
Roger Simmons,Ontario,,20-01-03 22:29,8,37,658,FALSE,20-12-14 22:11,0,Will you be taking the COVID-19 vaccine once available to you? #COVID19 #Pfizer #BioNTech #vaccine #PfizerBioNTech… https://t.co/bl7IiCeCCU,"['COVID19', 'Pfizer', 'BioNTech', 'vaccine', 'PfizerBioNTech']",Twitter for iPhone,0,0,FALSE
Joanbeam3000,La Belle Province,"Be yourself, everyone else is already taken. ~ Oscar Wilde     #Twinja",14-10-06 4:28,2597,4988,338282,FALSE,20-12-14 21:41,y,"@FarAndWide @erinotoole @MichelleRempel That Rempel-Trudeau exchange had to be seen to be believed. (I saw it, too)… https://t.co/6FAgcNZ1bL",,Twitter Web App,0,4,FALSE
H24,,"Go for breaking news and find what’s happening in the world experts,live and opinions.",20-06-19 23:58,403,22,3001,FALSE,20-12-14 21:33,y,#PfizerBioNTech New York state administered its first non-trial vaccine this morning to a health care worker. The P… https://t.co/FBY1lqLIM8,['PfizerBioNTech'],TweetDeck,3,3,FALSE
Trudeau Kabuki 🎭 🐵 🤡 ☻,Moronto City Of #Morons Canada,"Anti-Trudeau #FireTrudeau #TraitorTrudeau#TrudeauDictatorship #TrudeauCorruption Potus2020🥊🥊🥊Views are my own.",18-01-15 22:24,1070,1191,50770,FALSE,20-12-14 21:28,0,"@CPHO_Canada #PfizerBioNTech = Female Sterilization 💥💥💥#Pfizer =Untested No Liabilities #CrimesAgainstHumanity https://t.co/4TIvt3JEVn","['PfizerBioNTech', 'Pfizer', 'CrimesAgainstHumanity']",Twitter Web App,0,0,FALSE
Trudeau Kabuki 🎭 🐵 🤡 ☻,Moronto City Of #Morons Canada,"Anti-Trudeau #FireTrudeau #TraitorTrudeau#TrudeauDictatorship #TrudeauCorruption Potus2020🥊🥊🥊Views are my own.",18-01-15 22:24,1070,1191,50770,FALSE,20-12-14 21:24,n,@CPHO_Canada Key #crushCovid milestone achieved with shutting down &amp; #CoverUp of #PfizerBioNTech      untested No L… https://t.co/H5Sh5wspqs,"['crushCovid', 'CoverUp', 'PfizerBioNTech']",Twitter Web App,0,2,FALSE
Emily Manley,"Jefferson City, MO",#MO Chief Capitol reporter for @FOX2now @KPLR11 @fox4kc @KSNLocalNews @kolr10kozl @KODENews - @UISedu PAR & @WesternILUniv Alum - #STLCards & #STLBlues fan,12-12-19 8:19,1494,1646,20205,FALSE,20-12-14 21:18,y,#INBOX | @GovParsonMO says shipments of the #PfizerBioNTech vaccine will continue to ship to Missouri’s 21 vaccinat… https://t.co/w5xqB5gbW3,"['INBOX', 'PfizerBioNTech']",Twitter for iPhone,5,3,FALSE
"4 Luv Of Lambs, Lurchers, Hedgehogs",Hawaii & HongKong ,Respect1Another|HI.TIDE|Advocacy4Voiceless♿️ Laugh Daily. SpirulinaJunkie.If like:R/T,17-12-15 11:03,542,2537,9157,FALSE,20-12-14 21:18,y,@NYGovCuomo @CMargaronis @pfizer @UPS ?? #PfizerBioNTech are Germany based. ?..lets just hope the small numbers are… https://t.co/WWk28dHogd,['PfizerBioNTech'],Twitter for iPad,0,1,FALSE
H24,,"Go for breaking news and find what’s happening in the world experts,live and opinions.",20-06-19 23:58,403,22,3001,FALSE,20-12-14 21:11,y,"ICU nurse Sandra Lindsay said she was 'very proud,' after becoming one of the first Americans to receive the Pfizer… https://t.co/5JY1g7whhV",,Twitter Media Studio,3,3,FALSE
Joanbeam3000,La Belle Province,"Be yourself, everyone else is already taken. ~ Oscar Wilde     #Twinja",14-10-06 4:28,2597,4988,338282,FALSE,20-12-14 21:02,0,"@FarAndWide @erinotoole @MichelleRempel :: Screenshot #2 of that #QP exchange ::Unfortunately, Hansard does not c… https://t.co/e4IVaggplj",['QP'],Twitter Web App,1,5,FALSE
